source,path,suffix,category,cyrillic_share,words,bytes,tokenizer,tokens,tokens_per_word,tokens_per_kbyte,heuristic_tokens
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\evidence.schema.yaml,.yaml,yaml,0.0,156,1697,qwen3.8,533,3.4167,314.084,702
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\lock.schema.yaml,.yaml,yaml,0.0,88,996,qwen3.8,291,3.3068,292.169,396
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\routing.schema.yaml,.yaml,yaml,0.0,104,1214,qwen3.8,332,3.1923,273.476,468
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\slice.schema.yaml,.yaml,yaml,0.0,123,1337,qwen3.8,420,3.4146,314.136,554
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\spec-delta.schema.yaml,.yaml,yaml,0.0,85,878,qwen3.8,262,3.0824,298.405,383
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\task.schema.yaml,.yaml,yaml,0.0,144,1528,qwen3.8,452,3.1389,295.812,648
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\analyze\SKILL.md,.md,en,0.0,737,5330,qwen3.8,1261,1.711,236.585,959
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\declare\SKILL.md,.md,en,0.0,513,3451,qwen3.8,801,1.5614,232.107,667
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\decompose\SKILL.md,.md,en,0.0,435,3120,qwen3.8,775,1.7816,248.397,566
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\implement\SKILL.md,.md,en,0.0,415,2854,qwen3.8,667,1.6072,233.707,540
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\intake\SKILL.md,.md,en,0.0,471,3244,qwen3.8,804,1.707,247.842,613
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\run\SKILL.md,.md,en,0.0,434,2717,qwen3.8,714,1.6452,262.79,565
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\specify\SKILL.md,.md,cyrillic,0.002,561,3881,qwen3.8,922,1.6435,237.568,1235
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\verify\SKILL.md,.md,en,0.0,468,3236,qwen3.8,775,1.656,239.493,609
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\.deltafuse\config.yaml,.yaml,yaml,0.0,49,564,qwen3.8,180,3.6735,319.149,221
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\AGENTS.md,.md,en,0.0,300,2169,qwen3.8,511,1.7033,235.592,390
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\analysis.md,.md,en,0.0,52,342,qwen3.8,92,1.7692,269.006,68
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\change.yaml,.yaml,yaml,0.0,63,559,qwen3.8,215,3.4127,384.615,284
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\coverage.yaml,.yaml,yaml,0.0,22,325,qwen3.8,107,4.8636,329.231,99
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\design.md,.md,en,0.0,44,352,qwen3.8,65,1.4773,184.659,58
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\evidence\green\evidence.yaml,.yaml,yaml,0.0,31,358,qwen3.8,169,5.4516,472.067,140
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\evidence\red\evidence.yaml,.yaml,yaml,0.0,30,290,qwen3.8,100,3.3333,344.828,135
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\request.md,.md,en,0.0,47,300,qwen3.8,81,1.7234,270.0,62
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\routing.yaml,.yaml,yaml,0.0,25,235,qwen3.8,66,2.64,280.851,113
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\slices\SLICE-01.md,.md,en,0.0,92,714,qwen3.8,224,2.4348,313.725,120
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\spec-delta.md,.md,en,0.0,40,344,qwen3.8,109,2.725,316.86,52
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\tasks\TASK-001-template.md,.md,en,0.0,66,504,qwen3.8,157,2.3788,311.508,86
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\verification.md,.md,en,0.0,59,394,qwen3.8,116,1.9661,294.416,77
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\CHANGELOG.md,.md,en,0.0,30,213,qwen3.8,60,2.0,281.69,39
